-0.191562,-0.247300,0.136827
-0.183591,-0.247269,0.143490
-0.192425,-0.243696,0.127890
-0.191064,-0.236681,0.130051
-0.197537,-0.243503,0.131009
-0.197494,-0.235223,0.126971
-0.192701,-0.241769,0.129134
-0.187081,-0.247641,0.137584
-0.182475,-0.242397,0.138687
-0.169843,-0.210980,0.110334
-0.181799,-0.228781,0.119737
-0.180856,-0.236343,0.128590
-0.191273,-0.238291,0.128394
-0.186351,-0.245698,0.133367
-0.174329,-0.222578,0.117725
-0.182163,-0.237993,0.130904
-0.182998,-0.225956,0.111408
-0.186354,-0.241529,0.131089
-0.180316,-0.246255,0.126800
-0.188270,-0.243663,0.139026
-0.193019,-0.246007,0.125792
-0.201846,-0.233686,0.129943
-0.192576,-0.240528,0.131222
-0.184434,-0.243646,0.136605
-0.187378,-0.237503,0.123186
-0.194241,-0.240607,0.145187
-0.189834,-0.235751,0.126214
-0.191150,-0.235981,0.122960
-0.193243,-0.237491,0.124493
-0.189552,-0.242247,0.131106
-0.186308,-0.244239,0.131665
-0.192989,-0.241450,0.136244
-0.184709,-0.228359,0.121017
-0.186416,-0.248176,0.141898
-0.190209,-0.251489,0.131492
-0.193644,-0.246062,0.128130
-0.176338,-0.219541,0.115703
-0.191021,-0.247135,0.127248
-0.188949,-0.245197,0.132817
-0.188914,-0.237697,0.130740
-0.191398,-0.224048,0.118057
-0.187134,-0.237517,0.130703
-0.193724,-0.231258,0.121293
-0.174450,-0.230983,0.135287
-0.188729,-0.246421,0.131406
-0.191305,-0.246318,0.131402
-0.196500,-0.239188,0.128795
-0.174782,-0.216978,0.114151
-0.188686,-0.233838,0.124114
-0.180431,-0.249872,0.136666
-0.182114,-0.248337,0.141249
-0.196734,-0.248282,0.133536
-0.197965,-0.236539,0.127341
-0.188859,-0.235520,0.132778
-0.195905,-0.215095,0.121103
-0.199239,-0.233385,0.129623
-0.192120,-0.237861,0.129466
-0.189260,-0.239950,0.129117
-0.194121,-0.240299,0.130738
-0.191141,-0.235943,0.128515
-0.185282,-0.224219,0.108996
-0.186710,-0.235271,0.126907
-0.192047,-0.242547,0.133560
-0.190073,-0.249229,0.140182
-0.187302,-0.232958,0.125464
-0.189881,-0.242667,0.131836
-0.186676,-0.241917,0.134398
-0.189640,-0.244011,0.134181
-0.190175,-0.240491,0.132056
